item_id,item_api_url,item_page_url,title,identifier,scan_number,printed_page,position_on_page,chapter,illustration_type,visual_typology,creators,subjects,characters,narrative_place,geographic_place,illustration_image_url,media_ids,canvas_label,canvas_id,page_iiif_image_service,page_full_image_url,x,y,w,h,match_score,match_method,iiif_region_url
228859,https://dlrc.ficlit.unibo.it/api/items/228859,https://dlrc.ficlit.unibo.it/s/lib/item/228859,"Lucia, Renzo, Tonio e Gervaso si muovono al buio nella stanza",Quarantana_0151_p.145_1,0151,145,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco",Matrimonio,"Gervaso, fratello di Tonio; Lucia Mondella; Renzo Tramaglino; Tonio, cugino di Renzo",Casa di don Abbondio,,https://dlrc.ficlit.unibo.it/files/original/1ff95e5156845d88c4975f3b4b075388ef9d592a.jpg,229364; 229868,Quarantana_0151_p.145.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p151,https://dlrc.ficlit.unibo.it/iiif/2/232196,https://dlrc.ficlit.unibo.it/iiif/2/232196/full/full/0/default.jpg,210,1001,816,692,0.8493,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232196/210,1001,816,692/full/0/default.jpg"
228860,https://dlrc.ficlit.unibo.it/api/items/228860,https://dlrc.ficlit.unibo.it/s/lib/item/228860,"Il Griso, seguito da altri bravi, si introduce nella camera da letto di Lucia",Quarantana_0154_p.148_1,0154,148,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco",Violenza,"Bravi di don Rodrigo; Griso, capo dei bravi di don Rodrigo",Casa di Lucia,,https://dlrc.ficlit.unibo.it/files/original/dfc2190cf818346854d4184f71af573e2f986825.jpg,229365; 229869,Quarantana_0154_p.148.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p154,https://dlrc.ficlit.unibo.it/iiif/2/232199,https://dlrc.ficlit.unibo.it/iiif/2/232199/full/full/0/default.jpg,754,961,816,659,0.9707,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232199/754,961,816,659/full/0/default.jpg"
228861,https://dlrc.ficlit.unibo.it/api/items/228861,https://dlrc.ficlit.unibo.it/s/lib/item/228861,Menico viene catturato dai bravi mentre cerca di avvisare Agnese e Lucia del pericolo,Quarantana_0155_p.149_1,0155,149,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi; Bernard",Violenza,"Bravi di don Rodrigo; Menico, nipote di Agnese",Casa di Lucia,,https://dlrc.ficlit.unibo.it/files/original/bca4820c8e5b5e93a8f417344ee5c84a78624bca.jpg,229366; 229870,Quarantana_0155_p.149.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p155,https://dlrc.ficlit.unibo.it/iiif/2/232200,https://dlrc.ficlit.unibo.it/iiif/2/232200/full/full/0/default.jpg,277,1070,647,578,0.8874,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232200/277,1070,647,578/full/0/default.jpg"
228862,https://dlrc.ficlit.unibo.it/api/items/228862,https://dlrc.ficlit.unibo.it/s/lib/item/228862,Il Griso guida la ritirata dei suoi uomini,Quarantana_0156_p.150_1,0156,150,1,Capitolo VIII,Altre illustrazioni,Scena con figure,s.i.,Pericolo e ansia di evitarlo,"Bravi di don Rodrigo; Griso, capo dei bravi di don Rodrigo",Casa di Lucia,,https://dlrc.ficlit.unibo.it/files/original/ac4f99ce897d6e4ece4541a8d7be1b39207d4f64.jpg,229367; 229871,Quarantana_0156_p.150.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p156,https://dlrc.ficlit.unibo.it/iiif/2/232201,https://dlrc.ficlit.unibo.it/iiif/2/232201/full/full/0/default.jpg,755,1214,816,492,0.931,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232201/755,1214,816,492/full/0/default.jpg"
228863,https://dlrc.ficlit.unibo.it/api/items/228863,https://dlrc.ficlit.unibo.it/s/lib/item/228863,Perpetua si divincola dalla presa di Agnese e corre in soccorso di don Abbondio,Quarantana_0158_p.152_1,0158,152,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"[Riccardi, Paolo]",Pericolo e ansia di evitarlo,"Agnese, madre di Lucia; Perpetua, serva di don Abbondio",Paese di Renzo e Lucia,,https://dlrc.ficlit.unibo.it/files/original/a96e9c5688c0ceba93fafaef32f81dad35624086.jpg,229368; 229872,Quarantana_0158_p.152.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p158,https://dlrc.ficlit.unibo.it/iiif/2/232203,https://dlrc.ficlit.unibo.it/iiif/2/232203/full/full/0/default.jpg,770,594,763,594,0.9358,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232203/770,594,763,594/full/0/default.jpg"
228864,https://dlrc.ficlit.unibo.it/api/items/228864,https://dlrc.ficlit.unibo.it/s/lib/item/228864,Ambrogio apre la porta della chiesa,Quarantana_0160_p.154_1,0160,154,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco",,"Ambrogio, sagrestano di don Abbondio; Paesani del paese di Renzo e Lucia",Chiesa del paese di Renzo e Lucia,,https://dlrc.ficlit.unibo.it/files/original/7262e1313a78ccd19d7deedaf97409be5387f5a5.jpg,229369; 229873,Quarantana_0160_p.154.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p160,https://dlrc.ficlit.unibo.it/iiif/2/232205,https://dlrc.ficlit.unibo.it/iiif/2/232205/full/full/0/default.jpg,857,561,622,480,0.8815,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232205/857,561,622,480/full/0/default.jpg"
228865,https://dlrc.ficlit.unibo.it/api/items/228865,https://dlrc.ficlit.unibo.it/s/lib/item/228865,I bravi minacciano il console,Quarantana_0162_p.156_1,0162,156,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi; Loyseau",Potere; Violenza,Bravi di don Rodrigo; Console del paese di Lucia,Paese di Renzo e Lucia,,https://dlrc.ficlit.unibo.it/files/original/6196b939e3d9da5d3489ff75647b0aeb923f981a.jpg,229370; 229874,Quarantana_0162_p.156.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p162,https://dlrc.ficlit.unibo.it/iiif/2/232207,https://dlrc.ficlit.unibo.it/iiif/2/232207/full/full/0/default.jpg,786,1158,741,605,0.9883,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232207/786,1158,741,605/full/0/default.jpg"
228866,https://dlrc.ficlit.unibo.it/api/items/228866,https://dlrc.ficlit.unibo.it/s/lib/item/228866,"Agnese, Renzo e Lucia ringraziano Menico e continuano il loro cammino",Quarantana_0163_p.157_1,0163,157,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi",Famiglia; Viaggio,"Agnese, madre di Lucia; Lucia Mondella; Menico, nipote di Agnese; Renzo Tramaglino",,,https://dlrc.ficlit.unibo.it/files/original/93849034b4c935a394a77a520839a6fb81baf426.jpg,229371; 229875,Quarantana_0163_p.157.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p163,https://dlrc.ficlit.unibo.it/iiif/2/232208,https://dlrc.ficlit.unibo.it/iiif/2/232208/full/full/0/default.jpg,244,1214,786,528,0.9568,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232208/244,1214,786,528/full/0/default.jpg"
228867,https://dlrc.ficlit.unibo.it/api/items/228867,https://dlrc.ficlit.unibo.it/s/lib/item/228867,"Padre Cristoforo e fra Fazio accolgono Agnese, Renzo e Lucia nel convento",Quarantana_0166_p.160_1,0166,160,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Gonin, Francesco; Sacchi, Luigi",Religione; Viaggio,"Agnese, madre di Lucia; Cristoforo, padre; Fazio, fra, laico sagrestano sel convento di Pescarenico; Lucia Mondella; Renzo Tramaglino",Convento dei cappuccini di Pescarenico,Pescarenico,https://dlrc.ficlit.unibo.it/files/original/6cc71a4682b7dd4ad8c4c84df7d0d8b2add790dc.jpg,229372; 229876,Quarantana_0166_p.160.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p166,https://dlrc.ficlit.unibo.it/iiif/2/232211,https://dlrc.ficlit.unibo.it/iiif/2/232211/full/full/0/default.jpg,709,648,850,589,0.9004,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232211/709,648,850,589/full/0/default.jpg"
228868,https://dlrc.ficlit.unibo.it/api/items/228868,https://dlrc.ficlit.unibo.it/s/lib/item/228868,"Agnese, Renzo e Lucia pregano insieme a padre Cristoforo prima di partire",Quarantana_0167_p.161_1,0167,161,1,Capitolo VIII,Altre illustrazioni,Scena con figure,"Riccardi, Paolo",Religione; Viaggio,"Agnese, madre di Lucia; Cristoforo, padre; Lucia Mondella; Renzo Tramaglino",Convento dei cappuccini di Pescarenico,Pescarenico,https://dlrc.ficlit.unibo.it/files/original/700de7581c3ab42ed60bfb5a44a208e519a260c4.jpg,229373; 229877,Quarantana_0167_p.161.jpg,https://dlrc.ficlit.unibo.it/iiif/2/232045/canvas/p167,https://dlrc.ficlit.unibo.it/iiif/2/232212,https://dlrc.ficlit.unibo.it/iiif/2/232212/full/full/0/default.jpg,182,852,841,666,0.8898,ncc,"https://dlrc.ficlit.unibo.it/iiif/2/232212/182,852,841,666/full/0/default.jpg"
